chemical_name,protein_name
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
sulprostone,G02AD05
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
montelukast,R03DC03
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
iloprost,B01AC11
eptifibatide,B01AC16
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
acipimox,C10AD06
alcuronium,M03AA01
alcuronium,M03AA01
alcuronium,M03AA01
lornoxicam,M01AC05
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
diosmetin,
dacarbazine,L01AX04
dacarbazine,L01AX04
dacarbazine,L01AX04
dacarbazine,L01AX04
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
4-methylumbelliferone,A05AX02
remikiren,C09XA01
tolcapone,N04BX01
hydroxocobalamin,B03BA03 V03AB33
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
rosuvastatin,C10AA07
ergometrine,G02AB03
ergometrine,G02AB03
ergometrine,G02AB03
misoprostol,A02BB01
misoprostol,A02BB01
misoprostol,A02BB01
misoprostol,A02BB01
misoprostol,A02BB01
misoprostol,A02BB01
adrafinil,N06BX17
adrafinil,N06BX17
adrafinil,N06BX17
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
thioguanine,
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
methimazole,H03BB02
benzylthiouracil,H03BA03
benzylthiouracil,H03BA03
mercaptopurine,L01BB02
picotamide,B01AC03
picotamide,B01AC03
picotamide,B01AC03
picotamide,B01AC03
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
propylthiouracil,H03BA02
deferiprone,V03AC02
deferiprone,V03AC02
deferiprone,V03AC02
deferiprone,V03AC02
deferiprone,V03AC02
deferiprone,V03AC02
deferiprone,V03AC02
ciclesonide,R03BA08
adenosylcobalamin,B03BA04
hydrocodone,R05DA03
hydrocodone,R05DA03
hydrocodone,R05DA03
hydrocodone,R05DA03
hydrocodone,R05DA03
hydrocodone,R05DA03
hydrocodone,R05DA03
lanreotide,H01CB03
lanreotide,H01CB03
lanreotide,H01CB03
melagatran,B01AE04
melagatran,B01AE04
fondaparinux sodium,B01AX05
fondaparinux sodium,B01AX05
fondaparinux sodium,B01AX05
fondaparinux sodium,B01AX05
fondaparinux sodium,B01AX05
fondaparinux sodium,B01AX05
colesevelam hydrochloride,C10AC04
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
xamoterol,C01CX07
lumiracoxib,M01AH06
aprepitant,A04AD12
aprepitant,A04AD12
aprepitant,A04AD12
aprepitant,A04AD12
aprepitant,A04AD12
ezetimibe,C10AX09
ezetimibe,C10AX09
ezetimibe,C10AX09
ezetimibe,C10AX09
ezetimibe,C10AX09
ezetimibe,C10AX09
ezetimibe,C10AX09
eplerenone,C03DA04
eplerenone,C03DA04
eplerenone,C03DA04
SR 57746A,N07XX03
desloratadine,R06AX27
desloratadine,R06AX27
desloratadine,R06AX27
desloratadine,R06AX27
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
gefitinib,L01XE02
mometasone,D07AC13 D07XC03 R01AD09 R03BA07
etoricoxib,M01AH05
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
Ras,N04BD02
FP-CIT,V09AB03
FP-CIT,V09AB03
valdecoxib,M01AH03
valdecoxib,M01AH03
valdecoxib,M01AH03
nitisinone,A16AX04
epomediol,A05BA05
epomediol,A05BA05
tadalafil,G04BE08
beta-acetyldigoxin,C01AA02
bosentan,C02KX01
fotemustine,L01AD05
fotemustine,L01AD05
fotemustine,L01AD05
fotemustine,L01AD05
fotemustine,L01AD05
fotemustine,L01AD05
fulvestrant,L02BA03
fulvestrant,L02BA03
fulvestrant,L02BA03
fulvestrant,L02BA03
fulvestrant,L02BA03
fulvestrant,L02BA03
fulvestrant,L02BA03
tiazofurin,L01XX18
tiazofurin,L01XX18
tiazofurin,L01XX18
tiazofurin,L01XX18
tiazofurin,L01XX18
tiazofurin,L01XX18
tiazofurin,L01XX18
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
bortezomib,L01XX32
zofenopril,C09AA15
spirapril,C09AA11
spirapril,C09AA11
roxatidine,A02BA06
moexipril,C09AA13
allopurinol,M04AA01
allopurinol,M04AA01
allopurinol,M04AA01
allopurinol,M04AA01
allopurinol,M04AA01
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
rosiglitazone,A10BG02
eletriptan,N02CC06
eletriptan,N02CC06
eletriptan,N02CC06
eletriptan,N02CC06
tritoqualine,R06AX21
terlipressin,H01BA04
niaprazine,N05CM16
niaprazine,N05CM16
niaprazine,N05CM16
LINK,A02AD03
LINK,A02AD03
carbetocin,H01BB03
carbetocin,H01BB03
carbetocin,H01BB03
UK-738,N04AC30
UK-738,N04AC30
phenamine,
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
Triton WR-1339,R05CA01
dofetilide,C01BD04
dofetilide,C01BD04
nebivolol,C07AB12
nebivolol,C07AB12
nebivolol,C07AB12
nebivolol,C07AB12
nebivolol,C07AB12
nebivolol,C07AB12
nebivolol,C07AB12
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
ropivacaine,N01BB09
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
acamprosate,N07BB03
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
alphaxalone,N01AX05
cloricromene,B01AC02
cloricromene,B01AC02
cloricromene,B01AC02
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
brinzolamide,S01EC04
nomegestrol,G03DB04
nomegestrol,G03DB04
nomegestrol,G03DB04
budipine,N04BX03
budipine,N04BX03
talinolol,C07AB13
talinolol,C07AB13
talinolol,C07AB13
talinolol,C07AB13
talinolol,C07AB13
talinolol,C07AB13
talinolol,C07AB13
talinolol,C07AB13
zoledronic acid,M05BA08
zoledronic acid,M05BA08
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
lacidipine,C08CA09
rilmenidine,C02AC06
rilmenidine,C02AC06
rilmenidine,C02AC06
atosiban,G02CX01
atosiban,G02CX01
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
ibopamine,C01CA16 S01FB03
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
gallamine,M03AC02
moxestrol,G03CB04
cortivazol,H02AB17
cortivazol,H02AB17
telmisartan,C09CA07
telmisartan,C09CA07
telmisartan,C09CA07
mizolastine,R06AX25
mizolastine,R06AX25
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
Cardiovasc,C08CA13
reboxetine,N06AX18
milnacipran,N06AX17
etofibrate,C10AB09
etofibrate,C10AB09
etofibrate,C10AB09
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
erdosteine,R05CB15
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
capecitabine,L01BC06
eprosartan,C09CA02
eprosartan,C09CA02
eprosartan,C09CA02
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
levosimendan,C01CX08
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
olopatadine,R01AC08 S01GX09
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
ziprasidone,N05AE04
pemetrexed,L01BA04
pemetrexed,L01BA04
pemetrexed,L01BA04
pemetrexed,L01BA04
pemetrexed,L01BA04
pemetrexed,L01BA04
pemetrexed,L01BA04
tiotropium,R03BB04
tiotropium,R03BB04
tiotropium,R03BB04
remifentanil,N01AH06
remifentanil,N01AH06
remifentanil,N01AH06
remifentanil,N01AH06
remifentanil,N01AH06
remifentanil,N01AH06
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
aripiprazole,N05AX12
tenidap,M01AX23
mibefradil,C08CX01
mibefradil,C08CX01
mibefradil,C08CX01
mibefradil,C08CX01
mibefradil,C08CX01
